Feature,Mean_XGB_Importance,SD_XGB_Importance,Mean_SHAP,SD_SHAP
Solv_Kappa2,0.004391822,0.0019792556,0.0037553974,0.0016826427
Chrom_VSA_EState10,0.002134575,0.0005339427,0.003557821,0.0005459543
Chrom_SMR_VSA5,0.0031773169,0.00089344,0.0034014434,0.0011512073
Chrom_SlogP_VSA4,0.0026100453,0.00052857504,0.0033620067,0.001093277
Chrom_PEOE_VSA2,0.0038698844,0.0014783347,0.0032844536,0.00072939636
Chrom_PEOE_VSA11,0.0031437282,0.001195991,0.0032446664,0.0012752507
Solv_qed,0.012293661,0.00517918,0.0029924081,0.0010750011
Chrom_EState_VSA1,0.003773306,0.0034068348,0.0028181516,0.0012701032
Chrom_PEOE_VSA13,0.010307667,0.012582185,0.0027692863,0.0011295392
Chrom_NumAliphaticCarbocycles,0.0036556055,0.00085736334,0.002657887,0.00076478487
Solv_MinAbsPartialCharge,0.0083237495,0.0025706296,0.0026535653,0.0011217933
Chrom_PEOE_VSA1,0.006023452,0.0046969685,0.0025559699,0.0014057196
Chrom_fr_oxazole,0.0070496025,0.0020601025,0.0025375863,0.00066916895
Chrom_NumSaturatedHeterocycles,0.009759238,0.003391692,0.0023559344,0.0007566671
Chrom_fr_morpholine,0.003949876,0.001426848,0.0022228123,0.0006856232
Chrom_fr_furan,0.0058471286,0.0011823506,0.0021373667,0.0004190328
Chrom_EState_VSA10,0.004249374,0.0056499224,0.0019371833,0.0015477202
Chrom_fr_Ar_NH,0.0037935781,0.0010969167,0.0018443062,0.0006480436
Solv_MaxEStateIndex,0.0017679352,0.00045186846,0.0017719984,0.0010861496
Chrom_NumSaturatedRings,0.0038601179,0.002890661,0.0017434657,0.0015090256
Chrom_fr_aryl_methyl,0.0025915077,0.00079395785,0.001719531,0.00065481523
Solv_BCUT2D_MWHI,0.0030707018,0.0013328679,0.0016565763,0.0012814285
Chrom_fr_Al_COO,0.0018707456,0.00049671484,0.0016514007,0.0005131616
Chrom_fr_aniline,0.0033163603,0.0011965873,0.0015797315,0.00077850965
Chrom_fr_ester,0.0056501953,0.004455413,0.0015696209,0.00065323996
Chrom_fr_Ar_OH,0.011871554,0.010688324,0.0015488183,0.0010539731
Chrom_fr_Ndealkylation1,0.0016969463,0.00049124664,0.0014935381,0.00047196326
Chrom_NHOHCount,0.0067070588,0.010533247,0.0013045181,0.00042625476
Chrom_fr_lactone,0.0034662026,0.0010410417,0.0012197053,0.00059101434
Solv_SMR_VSA5,0.0017464587,0.00051243906,0.0012090383,0.0007740318
Solv_BCUT2D_MWLOW,0.0017908234,0.00079421554,0.0011574148,0.00096331263
Chrom_fr_Imine,0.0022139354,0.0014516293,0.0011549096,0.0007138865
Chrom_PEOE_VSA14,0.0025176809,0.0020170587,0.0011145269,0.0007211556
Solv_MinPartialCharge,0.0028159474,0.0023234144,0.0011068587,0.00049163966
Solv_BCUT2D_CHGHI,0.008521685,0.00980394,0.0010392807,0.00086825545
Solv_MaxPartialCharge,0.0029958931,0.0016915229,0.00094045175,0.00061284064
Chrom_SlogP_VSA7,0.0024904206,0.0007941033,0.00093229546,0.00043723293
Solv_VSA_EState8,0.0019481141,0.00093520584,0.0008917799,0.0006299781
Solv_SMR_VSA6,0.0014182453,0.00094920717,0.0008509598,0.0007751582
Chrom_NumAliphaticHeterocycles,0.002653723,0.00079258054,0.00083751214,0.00038035173
Solv_MinEStateIndex,0.0024861267,0.0016834098,0.00082243717,0.0009655573
Chrom_fr_Ar_COO,0.0013839266,0.0006661343,0.00079489907,0.0004142544
Solv_BalabanJ,0.0022869653,0.00087210233,0.0007900499,0.00039252482
Solv_PEOE_VSA6,0.0017472033,0.0010329495,0.0007505214,0.00045604623
Solv_EState_VSA4,0.010726445,0.010905152,0.0007344386,0.00045213557
Chrom_fr_ArN,0.002180914,0.0017257665,0.00073349517,0.0005841528
Chrom_fr_quatN,0.0024198045,0.0008019217,0.0006918072,0.00057720114
Solv_NumHDonors,0.00518227,0.002898512,0.00068555604,0.0005753513
Solv_BertzCT,0.0017062944,0.00041625515,0.00064436335,0.00051044254
Solv_FpDensityMorgan1,0.0017055,0.00033752553,0.0006293383,0.00020998593
Solv_Ipc,0.0020048618,0.0007289751,0.0005181153,0.00038204138
Chrom_fr_NH1,0.002825581,0.0023361978,0.00049737404,0.00047957516
Solv_VSA_EState3,0.001283699,0.00085883396,0.0004103844,0.0004072621
Solv_FractionCSP3,0.0011299255,0.0011029248,0.00040955414,0.00036894955
Chrom_fr_Al_OH_noTert,0.0010999494,0.00088943366,0.0003960176,0.0003525537
Solv_PEOE_VSA9,0.0014574074,0.0013196609,0.00031766688,0.00047845952
Chrom_fr_amide,0.0013209988,0.0009861934,0.00026478307,0.00019712785
Solv_BCUT2D_MRLOW,0.0019149419,0.0013956169,0.00022919876,0.00021016413
Solv_PEOE_VSA7,0.0014502766,0.0013574369,0.0002248324,0.00023109221
Chrom_fr_methoxy,0.00069513253,0.00086128747,0.00019670671,0.0003269827
Solv_PEOE_VSA8,0.002227456,0.003123768,0.00017725913,0.00023140106
Chrom_fr_sulfide,0.00049816805,0.00051128975,0.0001506234,0.00015045915
Chrom_fr_unbrch_alkane,0.0025149242,0.00351639,0.00014194622,0.00014073023
Chrom_fr_nitro,0.00096801686,0.0015140611,0.0001397288,0.00022939328
Chrom_fr_COO,0.0011454972,0.00040319376,0.0001395643,9.229277e-05
Chrom_fr_amidine,0.00028434448,0.0005769446,0.0001354197,0.000358883
Solv_SlogP_VSA3,0.00055180513,0.001207565,0.00013017366,0.0003533243
Chrom_fr_hdrzine,0.0032255792,0.006578498,0.00012627992,0.00025441984
Solv_TPSA,0.00045758122,0.00062482344,0.00012262519,0.00017423285
Solv_PEOE_VSA5,0.0015436929,0.0024827758,0.00010505748,0.00017865315
Solv_PEOE_VSA11,0.0004126273,0.0006376065,9.9863486e-05,0.00015446222
Chrom_fr_Al_OH,0.00036556547,0.000921908,7.5722906e-05,0.00016211627
Solv_EState_VSA1,8.967187e-05,0.00018270308,6.319006e-05,0.00012667425
Chrom_fr_aldehyde,0.0002121545,0.0003453756,5.7469024e-05,9.2250004e-05
Solv_VSA_EState1,4.036025e-05,0.00012108074,4.645369e-05,0.00013936106
Chrom_fr_alkyl_halide,0.00037394481,0.0009895146,4.5649453e-05,0.00010580074
Chrom_EState_VSA11,0.00041896192,0.0008602518,4.5403627e-05,9.206428e-05
Chrom_SMR_VSA2,0.00054291607,0.0011620519,3.763457e-05,7.980727e-05
Solv_NumRotatableBonds,0.00043978257,0.00067853805,3.4648543e-05,6.14332e-05
Chrom_fr_piperdine,8.5523134e-05,0.00017295628,1.8300916e-05,3.704082e-05
Solv_NHOHCount,0.00029103164,0.00087309495,1.6017642e-05,4.8052927e-05
Chrom_fr_C_S,7.293437e-05,0.00021880309,1.4618801e-05,4.385641e-05
Solv_EState_VSA3,0.00015114577,0.00045343733,3.9959255e-06,1.1987776e-05
Solv_fr_Imine,0.0,0.0,0.0,0.0
Solv_fr_NH1,0.0,0.0,0.0,0.0
Solv_fr_furan,0.0,0.0,0.0,0.0
Solv_fr_epoxide,0.0,0.0,0.0,0.0
Solv_fr_barbitur,0.0,0.0,0.0,0.0
Solv_fr_diazo,0.0,0.0,0.0,0.0
Solv_fr_bicyclic,0.0,0.0,0.0,0.0
Solv_fr_benzodiazepine,0.0,0.0,0.0,0.0
Solv_fr_NH2,0.0,0.0,0.0,0.0
Solv_fr_dihydropyridine,0.0,0.0,0.0,0.0
Solv_fr_amidine,0.0,0.0,0.0,0.0
Solv_fr_N_O,0.0,0.0,0.0,0.0
Solv_fr_allylic_oxid,0.0,0.0,0.0,0.0
Solv_fr_Ndealkylation2,0.0,0.0,0.0,0.0
Solv_fr_Nhpyrrole,0.0,0.0,0.0,0.0
Solv_fr_azo,0.0,0.0,0.0,0.0
Solv_fr_SH,0.0,0.0,0.0,0.0
Solv_fr_aldehyde,0.0,0.0,0.0,0.0
Solv_fr_azide,0.0,0.0,0.0,0.0
Solv_fr_aniline,0.0,0.0,0.0,0.0
Solv_fr_alkyl_carbamate,0.0,0.0,0.0,0.0
Solv_fr_Ndealkylation1,0.0,0.0,0.0,0.0
Solv_fr_isothiocyan,0.0,0.0,0.0,0.0
Solv_fr_guanido,0.0,0.0,0.0,0.0
Solv_fr_phos_acid,0.0,0.0,0.0,0.0
Solv_fr_thiophene,0.0,0.0,0.0,0.0
Solv_fr_thiocyan,0.0,0.0,0.0,0.0
Solv_fr_thiazole,0.0,0.0,0.0,0.0
Solv_fr_tetrazole,0.0,0.0,0.0,0.0
Solv_fr_term_acetylene,0.0,0.0,0.0,0.0
Solv_fr_sulfone,0.0,0.0,0.0,0.0
Solv_fr_sulfonamd,0.0,0.0,0.0,0.0
Solv_fr_sulfide,0.0,0.0,0.0,0.0
Solv_fr_quatN,0.0,0.0,0.0,0.0
Solv_fr_prisulfonamd,0.0,0.0,0.0,0.0
Solv_fr_priamide,0.0,0.0,0.0,0.0
Solv_fr_piperzine,0.0,0.0,0.0,0.0
Solv_fr_piperdine,0.0,0.0,0.0,0.0
Solv_fr_phos_ester,0.0,0.0,0.0,0.0
Solv_fr_oxime,0.0,0.0,0.0,0.0
Solv_fr_hdrzine,0.0,0.0,0.0,0.0
Solv_fr_oxazole,0.0,0.0,0.0,0.0
Solv_fr_nitroso,0.0,0.0,0.0,0.0
Solv_fr_nitro_arom_nonortho,0.0,0.0,0.0,0.0
Solv_fr_nitro_arom,0.0,0.0,0.0,0.0
Solv_fr_nitro,0.0,0.0,0.0,0.0
Solv_fr_morpholine,0.0,0.0,0.0,0.0
Solv_fr_methoxy,0.0,0.0,0.0,0.0
Solv_fr_lactone,0.0,0.0,0.0,0.0
Solv_fr_lactam,0.0,0.0,0.0,0.0
Solv_fr_C_S,0.0,0.0,0.0,0.0
Solv_fr_isocyan,0.0,0.0,0.0,0.0
Solv_fr_imide,0.0,0.0,0.0,0.0
Solv_fr_imidazole,0.0,0.0,0.0,0.0
Solv_fr_hdrzone,0.0,0.0,0.0,0.0
Solv_fr_HOCCN,0.0,0.0,0.0,0.0
Chrom_fr_isothiocyan,0.0,0.0,0.0,0.0
Solv_fr_Ar_OH,0.0,0.0,0.0,0.0
Solv_PEOE_VSA12,0.0,0.0,0.0,0.0
Chrom_NumSaturatedCarbocycles,0.0,0.0,0.0,0.0
Chrom_fr_HOCCN,0.0,0.0,0.0,0.0
Chrom_fr_Ndealkylation2,0.0,0.0,0.0,0.0
Chrom_fr_SH,0.0,0.0,0.0,0.0
Solv_NumRadicalElectrons,0.0,0.0,0.0,0.0
Chrom_fr_alkyl_carbamate,0.0,0.0,0.0,0.0
Chrom_fr_azide,0.0,0.0,0.0,0.0
Chrom_fr_thiocyan,0.0,0.0,0.0,0.0
Chrom_fr_barbitur,0.0,0.0,0.0,0.0
Chrom_fr_tetrazole,0.0,0.0,0.0,0.0
Chrom_fr_term_acetylene,0.0,0.0,0.0,0.0
Chrom_fr_sulfone,0.0,0.0,0.0,0.0
Chrom_fr_benzodiazepine,0.0,0.0,0.0,0.0
Chrom_fr_diazo,0.0,0.0,0.0,0.0
Chrom_fr_dihydropyridine,0.0,0.0,0.0,0.0
Chrom_fr_prisulfonamd,0.0,0.0,0.0,0.0
Chrom_fr_priamide,0.0,0.0,0.0,0.0
Chrom_fr_piperzine,0.0,0.0,0.0,0.0
Chrom_fr_phos_ester,0.0,0.0,0.0,0.0
Chrom_fr_phos_acid,0.0,0.0,0.0,0.0
Chrom_fr_epoxide,0.0,0.0,0.0,0.0
Chrom_fr_oxime,0.0,0.0,0.0,0.0
Chrom_fr_guanido,0.0,0.0,0.0,0.0
Chrom_fr_nitroso,0.0,0.0,0.0,0.0
Chrom_fr_isocyan,0.0,0.0,0.0,0.0
Solv_PEOE_VSA10,0.0,0.0,0.0,0.0
Solv_PEOE_VSA13,0.0,0.0,0.0,0.0
Solv_fr_Ar_NH,0.0,0.0,0.0,0.0
Solv_PEOE_VSA14,0.0,0.0,0.0,0.0
Solv_fr_Ar_COO,0.0,0.0,0.0,0.0
Solv_fr_ArN,0.0,0.0,0.0,0.0
Solv_fr_Al_COO,0.0,0.0,0.0,0.0
Solv_NumAromaticHeterocycles,0.0,0.0,0.0,0.0
Solv_NumAliphaticCarbocycles,0.0,0.0,0.0,0.0
Chrom_NumRadicalElectrons,0.0,0.0,0.0,0.0
Solv_VSA_EState5,0.0,0.0,0.0,0.0
Solv_VSA_EState2,0.0,0.0,0.0,0.0
Solv_EState_VSA6,0.0,0.0,0.0,0.0
Chrom_fr_lactam,0.0,0.0,0.0,0.0
Solv_EState_VSA11,0.0,0.0,0.0,0.0
Solv_EState_VSA10,0.0,0.0,0.0,0.0
Solv_SlogP_VSA9,0.0,0.0,0.0,0.0
Solv_SlogP_VSA8,0.0,0.0,0.0,0.0
Solv_SlogP_VSA7,0.0,0.0,0.0,0.0
Solv_SlogP_VSA11,0.0,0.0,0.0,0.0
Solv_SlogP_VSA10,0.0,0.0,0.0,0.0
Solv_SlogP_VSA1,0.0,0.0,0.0,0.0
Solv_SMR_VSA8,0.0,0.0,0.0,0.0
Chrom_SMR_VSA8,0.0,0.0,0.0,0.0
Chrom_SlogP_VSA9,0.0,0.0,0.0,0.0
Solv_SMR_VSA4,0.0,0.0,0.0,0.0
Solv_PEOE_VSA4,0.0,0.0,0.0,0.0
Solv_PEOE_VSA3,0.0,0.0,0.0,0.0
Solv_PEOE_VSA2,0.0,0.0,0.0,0.0
Solv_fr_urea,0.0,0.0,0.0,0.0
